state,population
AK,737438
AL,4887871
AR,3013825
AZ,7171646
CA,39557045
CO,5695564
CT,3572665
DC,702455
DE,967171
FL,21299325
GA,10519475
HI,1420491
IA,3156145
ID,1754208
IL,12741080
IN,6691878
KS,2911510
KY,4468402
LA,4659978
MA,6902149
MD,6042718
ME,1338404
MI,9995915
MN,5611179
MO,6126452
MS,2986530
MT,1062305
NC,10383620
ND,760077
NE,1929268
NH,1356458
NJ,8908520
NM,2095428
NV,3034392
NY,19542209
OH,11689442
OK,3943079
OR,4190713
PA,12807060
PR,3195153
RI,1057315
SC,5084127
SD,882235
TN,6770010
TX,28701845
UT,3161105
VA,8517685
VT,626299
WA,7535591
WI,5813568
WV,1805832
WY,577737
